owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2019-2020,99440.00,98432.63
aandc-aadnc,2017-2018,86220.33,88854.87
cbsa-asfc,2017-2018,1163440.58,1198507.89
cbsa-asfc,2018-2019,1625480.72,1654121.31
cbsa-asfc,2019-2020,1361636.74,1354355.75
cbsa-asfc,2020-2021,381397.14,363184.41
cbsa-asfc,2021-2022,203032.66,189990.06
cic,2017-2018,50874.04,52438.63
cnsc-ccsn,2017-2018,598155.50,616479.15
cnsc-ccsn,2018-2019,241667.48,246291.73
cnsc-ccsn,2019-2020,243981.42,242023.44
cnsc-ccsn,2020-2021,399493.66,380747.95
cnsc-ccsn,2021-2022,662471.30,619914.84
cra-arc,2017-2018,1941157.82,2001089.55
cra-arc,2018-2019,427189.75,438091.77
csa-asc,2018-2019,27645.45,28274.57
csc-scc,2018-2019,79087.72,79977.24
csc-scc,2019-2020,120074.78,120046.56
dfo-mpo,2017-2018,71190.00,73151.79
dnd-mdn,2017-2018,378194.78,389733.64
dnd-mdn,2018-2019,387911.77,394997.31
dnd-mdn,2019-2020,245389.04,244213.58
dnd-mdn,2020-2021,194501.84,185527.86
dnd-mdn,2021-2022,210687.27,196968.52
esdc-edsc,2017-2018,327341.27,337374.03
esdc-edsc,2018-2019,327341.27,333324.73
fin,2017-2018,219285.92,226006.86
fin,2018-2019,36647.78,37583.05
fin,2020-2021,45175.79,43069.44
fin,2021-2022,45175.79,42273.74
hc-sc,2017-2018,2648727.68,2729446.89
hc-sc,2018-2019,3142082.22,3198962.10
hc-sc,2019-2020,2888809.24,2868741.11
hc-sc,2020-2021,2375155.37,2264516.49
hc-sc,2021-2022,1944567.67,1820397.96
ic,2017-2018,687283.63,708348.35
ic,2018-2019,865759.94,881565.84
ic,2019-2020,1482135.75,1471310.87
ic,2020-2021,850087.60,810561.15
ic,2021-2022,780683.82,728054.52
jus,2017-2018,177855.03,183306.15
jus,2018-2019,162861.29,165838.23
jus,2019-2020,163307.48,161996.92
jus,2020-2021,162861.29,155267.79
jus,2021-2022,202637.29,189620.08
nrcan-rncan,2017-2018,24690.50,25370.90
nrcan-rncan,2018-2019,35979.20,36286.04
nrcan-rncan,2019-2020,76455.80,75246.62
osfi-bsif,2017-2018,156132.54,160917.89
osfi-bsif,2018-2019,26093.38,26759.30
pc,2020-2021,76527.36,73172.15
ps-sp,2017-2018,80114.19,82344.37
pwgsc-tpsgc,2017-2018,194013.30,199819.33
pwgsc-tpsgc,2018-2019,255223.41,260355.73
pwgsc-tpsgc,2019-2020,15059.55,15114.33
tc,2017-2018,529366.86,545591.55
tc,2018-2019,704290.86,716522.82
tc,2019-2020,320447.61,319520.31
