d_most_recent_category,d_fiscal_year,total
0_other,2017-2018,2216650.95
0_other,2018-2019,2216650.95
0_other,2019-2020,2222723.96
0_other,2020-2021,2216650.95
0_other,2021-2022,2216650.95
1_facilities_and_construction,2017-2018,140055.11
1_facilities_and_construction,2018-2019,140055.11
1_facilities_and_construction,2019-2020,92283.60
1_facilities_and_construction,2020-2021,56419.49
11_defence,2017-2018,7240456.50
11_defence,2018-2019,4483543.26
11_defence,2019-2020,4495826.94
11_defence,2020-2021,4483543.26
11_defence,2021-2022,994978.09
2_professional_services,2017-2018,19074806.01
2_professional_services,2018-2019,27748259.60
2_professional_services,2019-2020,51299028.89
2_professional_services,2020-2021,103370326.21
2_professional_services,2021-2022,91563970.34
3_information_technology,2017-2018,22755064.11
3_information_technology,2018-2019,25387782.94
3_information_technology,2019-2020,19807290.47
3_information_technology,2020-2021,14298472.74
3_information_technology,2021-2022,18495188.33
4_medical,2017-2018,8529.41
7_travel,2018-2019,0.00
9_human_capital,2017-2018,630181.56
9_human_capital,2018-2019,679289.46
9_human_capital,2019-2020,184942.75
9_human_capital,2020-2021,11686.23
9_human_capital,2021-2022,1083167.99
