d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,140055.10772339688
1_facilities_and_construction,2018-2019,140055.10772339688
1_facilities_and_construction,2019-2020,92283.59535070958
1_facilities_and_construction,2020-2021,56419.49127589967
11_defence,2017-2018,7240456.496497319
11_defence,2018-2019,4483543.26396495
11_defence,2019-2020,4495826.944140197
11_defence,2020-2021,4483543.26396495
2_professional_services,2017-2018,19074806.008333076
2_professional_services,2018-2019,27748259.60042875
2_professional_services,2019-2020,51299028.887578644
2_professional_services,2020-2021,103370326.21088806
3_information_technology,2017-2018,22755064.10660253
3_information_technology,2018-2019,25387782.941899776
3_information_technology,2019-2020,19807290.47186924
3_information_technology,2020-2021,14298472.736162955
4_medical,2017-2018,8529.414634146342
7_travel,2018-2019,0
9_human_capital,2017-2018,630181.5571776712
9_human_capital,2018-2019,679289.4618201223
9_human_capital,2019-2020,184942.74517447533
9_human_capital,2020-2021,11686.230446183954
NA,2017-2018,2216650.946345679
NA,2018-2019,2216650.946345679
NA,2019-2020,2222723.962637037
NA,2020-2021,2216650.946345679
