d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,267299.36,265718.72
11_defence,2017-2018,1631784.98,1682411.79
11_defence,2018-2019,282247.34,287249.63
11_defence,2019-2020,434515.89,433107.79
11_defence,2020-2021,84033.82,79972.90
11_defence,2021-2022,1540271.60,1423373.00
11_defence,2022-2023,2073863.21,1855701.49
2_professional_services,2017-2018,1070332.24,1102477.03
2_professional_services,2018-2019,2261947.57,2305451.04
2_professional_services,2019-2020,2092079.36,2075194.45
2_professional_services,2020-2021,2823942.63,2688937.74
2_professional_services,2021-2022,2612273.90,2439214.77
2_professional_services,2022-2023,346592.04,311005.22
3_information_technology,2017-2018,12405095.35,12784910.08
3_information_technology,2018-2019,11365321.14,11579509.87
3_information_technology,2019-2020,13303668.02,13204256.03
3_information_technology,2020-2021,9051327.47,8615616.41
3_information_technology,2021-2022,7418972.83,6913044.15
3_information_technology,2022-2023,6898708.18,6154413.71
6_industrial_products_and_services,2017-2018,17514.78,18014.98
