d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,103734.00,106179.23
it_consulting_services,2018-2019,125704.19,127038.41
it_consulting_services,2019-2020,177119.16,175039.70
it_consulting_services,2020-2021,274519.06,260387.66
it_consulting_services,2021-2022,183818.35,171377.32
it_devices_equipment,2017-2018,862529.97,883149.21
it_devices_equipment,2018-2019,590484.39,599375.19
it_devices_equipment,2019-2020,1593246.50,1567310.81
it_devices_equipment,2020-2021,739673.72,698870.53
it_devices_equipment,2021-2022,4389635.00,4015431.76
it_other,2017-2018,380694.63,391144.47
it_other,2018-2019,144745.56,147016.71
it_other,2019-2020,137718.56,136390.23
it_other,2020-2021,181062.68,172081.10
it_other,2021-2022,336317.92,310360.66
it_software_licensing,2017-2018,744336.26,762966.05
it_software_licensing,2018-2019,5012300.75,5090141.98
it_software_licensing,2019-2020,673364.63,665440.37
it_software_licensing,2020-2021,958445.08,908785.09
it_software_licensing,2021-2022,13816688.89,12830981.07
