owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,37648.09,38863.90
aafc-aac,2018-2019,26793.06,27149.19
aafc-aac,2019-2020,52689.50,51830.78
aafc-aac,2020-2021,35614.00,33558.21
aafc-aac,2021-2022,31683.85,28641.70
aafc-aac,2022-2023,10987.04,9722.93
cbsa-asfc,2018-2019,4269.68,4309.56
cbsa-asfc,2019-2020,68092.59,67084.00
cfia-acia,2020-2021,28427.10,26820.19
cfia-acia,2021-2022,19904.14,18673.78
cfia-acia,2022-2023,133441.21,118653.11
dfo-mpo,2017-2018,178916.27,184025.85
dfo-mpo,2018-2019,0.00,0.00
dfo-mpo,2019-2020,69101.55,67531.67
dfo-mpo,2020-2021,0.00,0.00
dfo-mpo,2022-2023,30687.78,27233.04
dnd-mdn,2020-2021,30466.67,28744.15
dnd-mdn,2021-2022,70695.25,65727.19
dnd-mdn,2022-2023,70695.25,63258.41
ec,2018-2019,12625.92,12799.08
ec,2019-2020,12018.25,12029.51
hc-sc,2017-2018,50838.57,52393.24
hc-sc,2018-2019,76973.04,78372.20
hc-sc,2019-2020,123143.25,121588.28
hc-sc,2020-2021,28887.20,27470.11
hc-sc,2021-2022,100829.70,93338.65
hc-sc,2022-2023,145961.55,130650.93
nrc-cnrc,2017-2018,15118.95,15586.29
nrc-cnrc,2018-2019,14038.17,14169.31
nrc-cnrc,2021-2022,10808.99,9771.15
nrc-cnrc,2022-2023,30703.87,27524.10
nrcan-rncan,2017-2018,13692.72,14083.76
nrcan-rncan,2018-2019,19446.30,19812.50
nrcan-rncan,2020-2021,11271.15,10809.06
phac-aspc,2017-2018,161750.77,166399.57
phac-aspc,2018-2019,260602.77,263942.13
phac-aspc,2019-2020,127597.31,126149.27
phac-aspc,2020-2021,5580334.29,5316111.15
phac-aspc,2021-2022,169828.27,158634.77
phac-aspc,2022-2023,117294.51,105323.86
