d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,8660387.33,8919510.40
1_facilities_and_construction,2018-2019,826354.12,842423.69
1_facilities_and_construction,2019-2020,66824.93,66291.87
1_facilities_and_construction,2020-2021,778990.17,747658.75
1_facilities_and_construction,2021-2022,3996502.93,3739897.25
1_facilities_and_construction,2022-2023,6321915.94,5702070.32
2_professional_services,2017-2018,177550.81,183042.76
2_professional_services,2018-2019,9093812.91,9221421.12
2_professional_services,2019-2020,17755317.00,17588125.02
2_professional_services,2020-2021,1771504.19,1688049.76
2_professional_services,2021-2022,9502500.64,8809333.10
2_professional_services,2022-2023,35938268.03,32112942.32
6_industrial_products_and_services,2022-2023,23773.96,21108.65
