owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2018-2019,13335.00,13464.05
dnd-mdn,2017-2018,8691134.63,8876606.94
dnd-mdn,2018-2019,791168.40,802336.90
dnd-mdn,2020-2021,671394.00,661633.14
dnd-mdn,2021-2022,3820104.36,3293075.41
pc,2021-2022,242743.21,219693.27
pwgsc-tpsgc,2017-2018,146803.51,152006.85
pwgsc-tpsgc,2018-2019,9081755.98,9221918.28
pwgsc-tpsgc,2019-2020,17822141.93,17791523.28
pwgsc-tpsgc,2020-2021,1879100.36,1810965.25
pwgsc-tpsgc,2021-2022,9476739.84,6925502.68
rcmp-grc,2018-2019,33907.65,34235.79
