owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,119120.19
aandc-aadnc,2018-2019,36072.55
cbsa-asfc,2017-2018,2986.03
csa-asc,2019-2020,16084.43
csc-scc,2017-2018,21329.47
csc-scc,2018-2019,208994.14
csc-scc,2019-2020,176130.55
csc-scc,2020-2021,128737.16
csps-efpc,2017-2018,7197.82
dfatd-maecd,2017-2018,35380.60
dfatd-maecd,2018-2019,48264.70
dfo-mpo,2017-2018,201245.49
dfo-mpo,2018-2019,131494.55
dfo-mpo,2019-2020,31254.43
dfo-mpo,2020-2021,73757.32
dnd-mdn,2017-2018,275802.95
dnd-mdn,2018-2019,362215.88
dnd-mdn,2019-2020,113582.10
dnd-mdn,2020-2021,27881.79
ec,2017-2018,23658.33
ec,2019-2020,35817.01
elections,2017-2018,93375.96
elections,2019-2020,385427.21
elections,2020-2021,264442.50
esdc-edsc,2017-2018,17561215.19
esdc-edsc,2018-2019,17538470.16
esdc-edsc,2019-2020,17582542.22
esdc-edsc,2020-2021,17534502.49
fcac-acfc,2018-2019,16469.26
fja-cmf,2017-2018,32692.56
fja-cmf,2018-2019,24905.20
hc-sc,2017-2018,475852.87
hc-sc,2018-2019,478290.73
hc-sc,2019-2020,234288.24
hc-sc,2020-2021,832.28
iaac-aeic,2018-2019,325.10
ic,2017-2018,62588.93
ic,2018-2019,152327.66
ic,2019-2020,94726.23
ic,2020-2021,34299.03
isc-sac,2017-2018,34462.97
isc-sac,2018-2019,63149.40
isc-sac,2019-2020,100253.88
jus,2017-2018,13137.76
lac-bac,2017-2018,16536.64
lac-bac,2018-2019,13070.88
nrc-cnrc,2017-2018,281188.88
nrc-cnrc,2018-2019,300893.25
nrc-cnrc,2019-2020,129955.29
nrcan-rncan,2017-2018,36228.77
nrcan-rncan,2018-2019,43975.89
nserc-crsng,2019-2020,41496.41
nserc-crsng,2020-2021,22093.37
pc,2017-2018,62734.97
pco-bcp,2017-2018,18645.00
phac-aspc,2017-2018,64723.58
phac-aspc,2018-2019,18050.06
phac-aspc,2019-2020,24516.06
ppsc-sppc,2017-2018,24588.10
ps-sp,2017-2018,26276.35
ps-sp,2020-2021,74.95
psc-cfp,2017-2018,40724.14
pwgsc-tpsgc,2017-2018,227944.55
pwgsc-tpsgc,2018-2019,354.94
pwgsc-tpsgc,2019-2020,9992.81
pwgsc-tpsgc,2020-2021,19780.08
ssc-spc,2017-2018,2216102.62
ssc-spc,2018-2019,48865.61
sshrc-crsh,2017-2018,71912.64
sshrc-crsh,2018-2019,63812.63
tc,2017-2018,166935.09
tc,2018-2019,20672.05
tc,2019-2020,24017.20
tsb-bst,2017-2018,58611.63
wage,2020-2021,15866.98
