owner_org,d_fiscal_year,total,total_constant_2019_dollars
aandc-aadnc,2017-2018,119120.19,122412.02
aandc-aadnc,2018-2019,36072.55,36455.24
acoa-apeca,2021-2022,7984.83,1885.58
cbsa-asfc,2017-2018,2986.03,3091.87
csa-asc,2019-2020,16084.43,16061.03
csc-scc,2017-2018,21329.47,21802.97
csc-scc,2018-2019,208994.14,212109.94
csc-scc,2019-2020,176130.55,175853.30
csc-scc,2020-2021,128737.16,126109.89
csc-scc,2021-2022,44793.50,13791.77
csps-efpc,2017-2018,7197.82,7450.09
dfatd-maecd,2017-2018,35380.60,36220.56
dfatd-maecd,2018-2019,48264.70,48906.78
dfo-mpo,2017-2018,201245.49,206121.93
dfo-mpo,2018-2019,131494.55,132853.79
dfo-mpo,2019-2020,31254.43,31240.18
dfo-mpo,2020-2021,73757.32,70964.77
dfo-mpo,2021-2022,33063.80,15527.75
dnd-mdn,2017-2018,275802.95,281930.23
dnd-mdn,2018-2019,362215.88,366570.30
dnd-mdn,2019-2020,113582.10,113435.84
dnd-mdn,2020-2021,27881.79,27565.27
dnd-mdn,2021-2022,59280.93,53732.54
ec,2017-2018,23658.33,24381.58
ec,2019-2020,35817.01,35731.10
elections,2017-2018,93375.96,95825.81
elections,2019-2020,385427.21,383354.34
elections,2020-2021,264442.50,253801.97
elections,2021-2022,0.00,0.00
esdc-edsc,2017-2018,17561215.19,18031901.23
esdc-edsc,2018-2019,17538470.16,17762279.07
esdc-edsc,2019-2020,17582542.22,17546528.56
esdc-edsc,2020-2021,17534502.49,17166062.89
esdc-edsc,2021-2022,4371615.69,4038031.19
fcac-acfc,2018-2019,16469.26,16740.99
fja-cmf,2017-2018,32692.56,33558.69
fja-cmf,2018-2019,24905.20,25306.87
hc-sc,2017-2018,475852.87,488682.65
hc-sc,2018-2019,478290.73,484621.70
hc-sc,2019-2020,234288.24,233761.26
hc-sc,2020-2021,832.28,839.56
iaac-aeic,2018-2019,325.10,332.23
ic,2017-2018,62588.93,64014.20
ic,2018-2019,152327.66,154288.20
ic,2019-2020,94726.23,94597.59
ic,2020-2021,34299.03,33578.33
isc-sac,2017-2018,34462.97,35058.24
isc-sac,2018-2019,63149.40,63806.64
isc-sac,2019-2020,100253.88,100021.02
jus,2017-2018,13137.76,13598.17
lac-bac,2017-2018,16536.64,16842.36
lac-bac,2018-2019,13070.88,13201.99
nrc-cnrc,2017-2018,281188.88,288614.28
nrc-cnrc,2018-2019,300893.25,304662.33
nrc-cnrc,2019-2020,129955.29,129818.54
nrcan-rncan,2017-2018,36228.77,37131.52
nrcan-rncan,2018-2019,43975.89,44498.61
nserc-crsng,2019-2020,41496.41,41411.41
nserc-crsng,2020-2021,22093.37,21751.32
nserc-crsng,2021-2022,45956.18,33520.73
pc,2017-2018,62734.97,64503.42
pco-bcp,2017-2018,18645.00,19126.70
phac-aspc,2017-2018,64723.58,66194.21
phac-aspc,2018-2019,18050.06,18297.28
phac-aspc,2019-2020,24516.06,24498.59
ppsc-sppc,2017-2018,24588.10,25386.44
ps-sp,2017-2018,26276.35,27207.69
ps-sp,2020-2021,74.95,71.93
psc-cfp,2017-2018,40724.14,41557.38
pwgsc-tpsgc,2017-2018,227944.55,234909.24
pwgsc-tpsgc,2018-2019,354.94,358.37
pwgsc-tpsgc,2019-2020,9992.81,9972.35
pwgsc-tpsgc,2020-2021,19780.08,18696.36
pwgsc-tpsgc,2021-2022,10057.67,9290.20
ssc-spc,2017-2018,2216102.62,2293573.27
ssc-spc,2018-2019,48865.61,49510.82
sshrc-crsh,2017-2018,71912.64,73490.38
sshrc-crsh,2018-2019,63812.63,65010.35
tc,2017-2018,166935.09,171233.37
tc,2018-2019,20672.05,21033.69
tc,2019-2020,24017.20,23980.93
tsb-bst,2017-2018,58611.63,59784.95
wage,2020-2021,15866.98,14997.65
wage,2021-2022,7477.54,6906.95
