owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2021-2022,136120.88,127304.51
cfia-acia,2018-2019,100238.17,101725.97
cfia-acia,2019-2020,35279.91,34787.91
cfia-acia,2020-2021,58059.46,55179.75
cfia-acia,2021-2022,142091.85,133073.94
cic,2017-2018,69057.95,71243.98
cic,2018-2019,124468.14,126335.22
cic,2021-2022,30913.00,28108.28
cra-arc,2017-2018,106218.58,109674.85
cra-arc,2018-2019,89526.50,91242.00
cra-arc,2019-2020,48976.05,48626.52
cra-arc,2020-2021,47958.51,45660.44
cra-arc,2021-2022,65165.14,59252.75
csc-scc,2020-2021,14760.11,13999.10
csc-scc,2021-2022,107686.39,100470.82
ec,2018-2019,19153.64,19316.99
ec,2019-2020,69974.63,69780.86
ec,2020-2021,166231.27,157989.95
ec,2021-2022,8537.19,7762.62
esdc-edsc,2018-2019,65778.23,66849.02
esdc-edsc,2019-2020,84177.74,83502.20
esdc-edsc,2021-2022,55667.63,50853.18
fin,2017-2018,197458.54,203480.30
fin,2018-2019,170422.01,172951.53
fin,2020-2021,59775.45,56693.54
hc-sc,2017-2018,38704.57,39844.17
hc-sc,2018-2019,61690.69,62818.33
hc-sc,2019-2020,44914.56,43983.88
hc-sc,2020-2021,346347.32,330702.48
hc-sc,2021-2022,370391.49,346680.75
ic,2017-2018,13021.96,13380.81
ic,2018-2019,97122.98,99316.10
ic,2019-2020,120143.41,119179.25
ic,2020-2021,14157.07,13427.16
ic,2021-2022,45802.29,43257.08
ocol-clo,2017-2018,2448.32,2515.79
ocol-clo,2018-2019,11032.55,11234.21
ocol-clo,2019-2020,5531.39,5538.04
pch,2017-2018,189874.01,195507.84
pch,2020-2021,54934.95,52702.04
phac-aspc,2021-2022,10739.51,9765.12
ps-sp,2017-2018,28585.01,29489.87
