normalized_vendor_name,original_vendor_name
RICOH,Ricoh Canada Inc.
RICOH,RICOH CANADA INC.
RICOH,RICOH CANADA INC
RICOH,Ricoh Canada Ltd.
RICOH,Ricoh Canada Inc
RICOH,RICOH JAPAN K.K.
RICOH,Ricoh Canada
RICOH,Ricoh
RICOH,RICOH FRANCE
RICOH,RICOH Canada Inc
RICOH,RICOH
RICOH,RICOH JAPAN (KA
RICOH,RICOH Canada Inc.
RICOH,Ricoh Canada Incorporated
RICOH,Ricoh Canada Inc - OTTAWA ON
RICOH,RICOH CANADA LTD.
RICOH,RICOH CANADA
RICOH,RICOH Canada
RICOH,RICOH SAVIN CANADA INC.
RICOH,RICOH DOCUMENT MANAGEMENT
RICOH,RICOH UK LTD
RICOH,RICOH  CANADA
RICOH,RICOH AMERICAS CORPORATION
RICOH,Ricoh Canada inc
RICOH,RICOH INC.
RICOH,Ricoh Savin Canada
RICOH,K) RICOH
RICOH,Ricoh canada Inc
RICOH,RICOH CANADA INC.- MISSISSAUGA
RICOH,RICOH FRANCE S.A.S.
RICOH,"Ricoh España, S.L."
RICOH,Ricoh Savin Canada Inc.
RICOH,RICOH AUSTRALIA PTY LTD
RICOH,ricoh
RICOH,Ricoh USA - Lease Account
RICOH,RICOH CANADA C/O OFFICE IMAGING ATLANTIC INC.
RICOH,ricoh canada
RICOH,RICOH HONG KONG LIMITED
RICOH,RICOH CA INC.
RICOH,RICOH (THAILAND) LIMITED
RICOH,RICOH BELGIUM S.A.
RICOH,Ricoh Canada  Inc.
RICOH,RICOH Italia s.r.l.
RICOH,Ricoh Canada inc.
RICOH,ricoh Canada Inc
RICOH,RICOH Canada Ltd
RICOH,RICOH IMAGE COMMUNICATION
RICOH,RICOH C ANADA
RICOH,RICOH Canada Ltd.
RICOH,Ricoh canada inc
RICOH,Ricoh Canada onc.
RICOH,RICOH CANADA LTD
RICOH,RICOH AMERICAS CORP.
RICOH,RICOH CANADA lNC.
