owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2017-2018,444692.29,456990.45
dfo-mpo,2018-2019,1021791.77,1042418.89
dfo-mpo,2019-2020,259330.53,258422.29
dfo-mpo,2020-2021,147849.93,141995.03
dfo-mpo,2021-2022,215457.29,113160.19
ec,2017-2018,19569.33,19905.48
ec,2018-2019,137361.68,139114.62
pc,2017-2018,204638.26,210123.70
pc,2018-2019,204638.26,207249.76
pwgsc-tpsgc,2017-2018,737113.94,755024.92
pwgsc-tpsgc,2018-2019,1055767.31,1069240.50
pwgsc-tpsgc,2019-2020,1004963.67,1002928.78
pwgsc-tpsgc,2020-2021,987477.78,966728.64
pwgsc-tpsgc,2021-2022,1205190.24,854156.09
