d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,25454.41,25326.99
1_facilities_and_construction,2020-2021,12600.00,12009.20
1_facilities_and_construction,2021-2022,216369.57,195594.64
10_office_management,2022-2023,49640.58,44239.78
2_professional_services,2020-2021,101265.91,96944.72
2_professional_services,2021-2022,336348.53,313372.09
2_professional_services,2022-2023,124290.58,111215.73
6_industrial_products_and_services,2020-2021,301935.97,290274.11
6_industrial_products_and_services,2021-2022,621519.43,567518.11
6_industrial_products_and_services,2022-2023,9573891.94,8613549.84
