owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2017-2018,1899600.50,1951420.18
dfo-mpo,2018-2019,5067023.44,5130407.88
dfo-mpo,2019-2020,3969060.56,3940111.93
dfo-mpo,2020-2021,5299361.19,5072371.15
dfo-mpo,2021-2022,12275848.02,11224052.06
pc,2018-2019,377516.94,383669.38
pc,2019-2020,409902.20,407463.08
pc,2020-2021,273532.65,260039.37
pc,2021-2022,273532.65,253960.03
pwgsc-tpsgc,2017-2018,10526954.71,10799481.10
pwgsc-tpsgc,2018-2019,10658197.67,10814560.47
pwgsc-tpsgc,2019-2020,9217919.27,9148396.08
pwgsc-tpsgc,2020-2021,1778213.55,1690494.78
pwgsc-tpsgc,2021-2022,2338318.75,2167609.76
