d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,150879.76,154011.36
1_facilities_and_construction,2018-2019,157468.79,159557.44
1_facilities_and_construction,2019-2020,342410.34,341724.35
1_facilities_and_construction,2020-2021,0.00,0.00
10_office_management,2017-2018,1584928.74,1630946.96
10_office_management,2018-2019,509435.97,514548.14
10_office_management,2019-2020,1276446.22,1273831.73
10_office_management,2020-2021,1272958.67,1246210.92
10_office_management,2021-2022,1272958.67,966990.85
2_professional_services,2017-2018,135847.77,139533.70
