d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,4516.00,4559.70
1_facilities_and_construction,2019-2020,66245.27,66174.63
1_facilities_and_construction,2020-2021,245455.78,240298.20
1_facilities_and_construction,2021-2022,245455.78,186458.13
2_professional_services,2017-2018,123853.59,126058.02
2_professional_services,2018-2019,515045.42,521647.94
2_professional_services,2019-2020,530323.72,529237.48
2_professional_services,2020-2021,771679.47,752303.21
2_professional_services,2021-2022,953980.28,724681.98
6_industrial_products_and_services,2017-2018,49536.74,50406.59
6_industrial_products_and_services,2018-2019,199659.44,202127.81
6_industrial_products_and_services,2019-2020,444173.01,443263.23
6_industrial_products_and_services,2020-2021,442959.42,433651.84
6_industrial_products_and_services,2021-2022,442959.42,336489.88
