d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,91304.35,92202.69
1_facilities_and_construction,2019-2020,108695.65,109030.04
1_facilities_and_construction,2020-2021,230000.00,219469.23
2_professional_services,2017-2018,45550.96,46684.71
2_professional_services,2018-2019,68223.15,68908.87
2_professional_services,2019-2020,273369.63,268735.69
2_professional_services,2020-2021,655923.24,624024.55
2_professional_services,2021-2022,676771.18,629231.15
3_information_technology,2017-2018,72961.88,74866.45
3_information_technology,2020-2021,431.06,405.90
3_information_technology,2021-2022,39334.47,36519.89
9_human_capital,2020-2021,36373.81,34250.23
9_human_capital,2021-2022,39600.00,36189.02
