d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,14379164.59,14834687.97
1_facilities_and_construction,2018-2019,4463387.77,4538303.52
1_facilities_and_construction,2019-2020,4210585.46,4156375.04
1_facilities_and_construction,2020-2021,5390161.25,5133162.04
1_facilities_and_construction,2021-2022,6130177.19,5702128.72
1_facilities_and_construction,2022-2023,2056675.84,1854994.89
2_professional_services,2017-2018,578714.24,596139.60
2_professional_services,2018-2019,382740.21,388994.38
2_professional_services,2019-2020,395061.75,389211.83
2_professional_services,2020-2021,237207.11,225158.35
2_professional_services,2021-2022,981483.75,903489.59
2_professional_services,2022-2023,505254.04,449133.11
