owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2018-2019,84687.75,85537.75
dfo-mpo,2019-2020,369597.50,363526.83
dfo-mpo,2020-2021,706387.90,666446.55
dfo-mpo,2021-2022,1188077.22,1080271.63
dnd-mdn,2018-2019,46141.40,46868.10
dnd-mdn,2019-2020,60385.50,58924.14
dnd-mdn,2020-2021,72765.00,69237.79
ec,2017-2018,889323.62,912205.33
ec,2018-2019,864076.73,876013.38
ec,2019-2020,919833.59,909858.65
ec,2020-2021,934262.46,886841.42
ec,2021-2022,595333.33,546266.08
pc,2020-2021,24816.75,23367.90
