d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,84420.00
11_defence,2018-2019,84420.00
11_defence,2019-2020,29142.25
2_professional_services,2018-2019,2715.00
2_professional_services,2019-2020,8212.31
2_professional_services,2020-2021,8189.87
2_professional_services,2021-2022,5474.87
3_information_technology,2017-2018,542084.69
3_information_technology,2018-2019,1163414.97
3_information_technology,2019-2020,1166602.41
3_information_technology,2020-2021,1163414.97
3_information_technology,2021-2022,1152261.08
