owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,31696.50,32497.18
cfia-acia,2019-2020,89347.97,87742.11
cfia-acia,2021-2022,99782.96,92384.01
hc-sc,2017-2018,68378.43,70129.83
hc-sc,2018-2019,20304.82,20745.83
hc-sc,2019-2020,32232.12,31835.64
hc-sc,2020-2021,170315.86,161805.55
hc-sc,2021-2022,26748.23,24430.89
ic,2017-2018,1368064.45,1404422.76
ic,2018-2019,716605.33,724778.00
ic,2019-2020,688071.45,676060.32
ic,2020-2021,625341.10,592532.06
ic,2021-2022,437549.56,397909.82
