d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,54819304.25,56228512.14
it_consulting_services,2018-2019,68247795.82,69295665.59
it_consulting_services,2019-2020,64804035.57,64215711.86
it_consulting_services,2020-2021,71729324.43,68200007.76
it_consulting_services,2021-2022,65019640.83,60320483.40
it_devices_equipment,2019-2020,77702.15,77041.30
it_devices_equipment,2020-2021,77915.62,74072.06
it_devices_equipment,2021-2022,77915.62,72340.36
it_other,2017-2018,4570249.31,4688157.32
it_other,2018-2019,4554908.51,4626598.85
it_other,2019-2020,4098917.93,4069290.83
it_other,2020-2021,2947837.63,2802231.87
it_other,2021-2022,2593543.89,2408134.35
it_software_licensing,2017-2018,137035.18,140282.52
it_software_licensing,2018-2019,480940.78,488420.13
it_software_licensing,2019-2020,482258.43,478188.66
it_software_licensing,2020-2021,376190.58,358594.00
it_software_licensing,2021-2022,53161.08,49493.00
