d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2457559.39,2532304.07
1_facilities_and_construction,2018-2019,2197532.05,2237831.30
1_facilities_and_construction,2019-2020,1999847.55,1982778.31
1_facilities_and_construction,2020-2021,3039708.45,2893885.52
1_facilities_and_construction,2021-2022,2514856.44,2331641.51
1_facilities_and_construction,2022-2023,5728959.67,5116085.94
11_defence,2017-2018,302620.62,311279.23
11_defence,2018-2019,1220.17,1231.57
11_defence,2019-2020,147640.84,146481.23
2_professional_services,2017-2018,364742.59,376096.32
2_professional_services,2018-2019,304059.78,309583.49
2_professional_services,2019-2020,225648.22,224113.31
2_professional_services,2020-2021,261333.50,247905.21
2_professional_services,2021-2022,95346.74,89449.56
3_information_technology,2017-2018,401941.20,414589.75
3_information_technology,2018-2019,338595.25,344748.58
3_information_technology,2019-2020,420063.86,414849.83
3_information_technology,2020-2021,617210.62,587649.58
3_information_technology,2021-2022,401288.30,373554.57
3_information_technology,2022-2023,353397.23,315860.23
4_medical,2017-2018,55575.96,57222.89
4_medical,2019-2020,87004.42,85487.23
4_medical,2020-2021,10948.15,10516.19
5_transportation_and_logistics,2017-2018,4365724.73,4499688.10
5_transportation_and_logistics,2018-2019,318301.60,325822.87
5_transportation_and_logistics,2019-2020,271184.25,270193.94
5_transportation_and_logistics,2020-2021,1772911.46,1693761.82
5_transportation_and_logistics,2021-2022,1241888.40,1157823.90
5_transportation_and_logistics,2022-2023,305654.63,272106.52
6_industrial_products_and_services,2017-2018,1222237.84,1260699.02
6_industrial_products_and_services,2018-2019,798724.44,814092.09
6_industrial_products_and_services,2019-2020,737323.91,730470.94
6_industrial_products_and_services,2020-2021,1107206.69,1056109.89
6_industrial_products_and_services,2021-2022,920493.93,850164.21
6_industrial_products_and_services,2022-2023,1497012.68,1336625.65
8_security_and_protection,2017-2018,747476.88,770576.56
8_security_and_protection,2018-2019,940155.73,956779.75
8_security_and_protection,2019-2020,1310717.23,1299767.22
8_security_and_protection,2020-2021,1196373.33,1139374.98
8_security_and_protection,2021-2022,1466907.97,1361382.81
8_security_and_protection,2022-2023,1330175.31,1189713.92
9_human_capital,2018-2019,23575.00,23987.30
9_human_capital,2022-2023,21735.00,19435.05
