owner_org,d_fiscal_year,total,total_constant_2019_dollars
csps-efpc,2017-2018,868642.66,895265.89
csps-efpc,2018-2019,882638.14,898635.40
csps-efpc,2019-2020,921295.76,914167.97
csps-efpc,2020-2021,978651.66,933214.95
csps-efpc,2021-2022,1013405.08,949089.51
ec,2017-2018,76430.10,78658.67
ec,2018-2019,48046.33,48456.08
ec,2019-2020,91539.07,89844.97
ec,2020-2021,41108.46,39326.86
ec,2021-2022,37480.55,34685.56
ppsc-sppc,2020-2021,27683.88,26430.52
ppsc-sppc,2021-2022,20223.96,18947.59
pwgsc-tpsgc,2017-2018,27694.58,28542.46
pwgsc-tpsgc,2018-2019,29924.12,30459.92
pwgsc-tpsgc,2019-2020,35524.24,35244.29
pwgsc-tpsgc,2020-2021,31311.90,29864.28
pwgsc-tpsgc,2021-2022,18625.95,17429.44
tc,2017-2018,25165.55,25892.25
