owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,128208.00
aandc-aadnc,2018-2019,243862.95
aandc-aadnc,2019-2020,183426.68
aandc-aadnc,2020-2021,216791.40
dfo-mpo,2017-2018,209820.73
dfo-mpo,2018-2019,139210.43
dfo-mpo,2019-2020,346774.26
dnd-mdn,2017-2018,351448.17
dnd-mdn,2018-2019,475841.12
dnd-mdn,2019-2020,154319.62
dnd-mdn,2020-2021,38443.44
ec,2017-2018,24504.05
ec,2019-2020,24860.00
ec,2020-2021,39550.00
hc-sc,2017-2018,79846.94
isc-sac,2018-2019,7701.97
isc-sac,2019-2020,60515.48
nrcan-rncan,2018-2019,73937.04
nrcan-rncan,2019-2020,24408.00
nrcan-rncan,2020-2021,79185.88
pc,2018-2019,49748.74
pc,2020-2021,98603.63
pwgsc-tpsgc,2017-2018,10816218.64
pwgsc-tpsgc,2018-2019,12659748.05
pwgsc-tpsgc,2019-2020,8897271.21
pwgsc-tpsgc,2020-2021,9834905.71
