d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,15905.40,15739.50
1_facilities_and_construction,2021-2022,20814.60,18799.75
11_defence,2018-2019,12916.77,13078.95
2_professional_services,2017-2018,38920.39,39874.75
2_professional_services,2018-2019,289372.23,294022.86
2_professional_services,2019-2020,14774.29,14533.10
3_information_technology,2017-2018,97073.28,99424.42
3_information_technology,2018-2019,55979.61,57195.45
3_information_technology,2019-2020,30000.00,30106.67
3_information_technology,2020-2021,3364.90,3168.45
3_information_technology,2021-2022,374218.54,344610.90
6_industrial_products_and_services,2017-2018,9570025.36,9818594.04
6_industrial_products_and_services,2018-2019,9169161.34,9300435.69
6_industrial_products_and_services,2019-2020,9288336.70,9193738.54
6_industrial_products_and_services,2020-2021,6600077.48,6272303.08
6_industrial_products_and_services,2021-2022,6084017.57,5632329.36
9_human_capital,2017-2018,17125.50,17576.99
9_human_capital,2018-2019,25515.40,25766.45
9_human_capital,2021-2022,23228.28,21536.95
