d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,388371.21,399705.27
it_consulting_services,2018-2019,510064.78,516525.43
it_consulting_services,2019-2020,1614620.50,1601195.85
it_consulting_services,2020-2021,760496.17,724982.29
it_consulting_services,2021-2022,501861.30,465751.79
it_consulting_services,2022-2023,403090.88,359498.58
it_devices_equipment,2017-2018,1883095.05,1938203.60
it_devices_equipment,2018-2019,2104015.56,2142885.28
it_devices_equipment,2019-2020,1158925.18,1150780.17
it_devices_equipment,2020-2021,1438972.08,1366480.68
it_devices_equipment,2021-2022,485258.78,444358.94
it_devices_equipment,2022-2023,634558.27,565808.69
it_other,2017-2018,880211.24,906394.40
it_other,2018-2019,808867.76,820862.35
it_other,2019-2020,629538.01,623037.20
it_other,2020-2021,715637.86,682785.64
it_other,2021-2022,703260.83,649021.21
it_other,2022-2023,1076777.16,965111.28
it_software_licensing,2017-2018,8029287.80,8270489.37
it_software_licensing,2018-2019,6951554.00,7079442.30
it_software_licensing,2019-2020,8869921.45,8774531.10
it_software_licensing,2020-2021,8624582.25,8209119.39
it_software_licensing,2021-2022,11992236.90,11079914.02
it_software_licensing,2022-2023,14102187.19,12566533.88
