d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,6046.51,6103.00
1_facilities_and_construction,2019-2020,65088.92,64569.71
1_facilities_and_construction,2020-2021,58864.57,56118.68
1_facilities_and_construction,2022-2023,16791.00,14859.12
11_defence,2017-2018,65576.16,67479.86
11_defence,2018-2019,56965.68,57953.68
11_defence,2019-2020,150100.70,148913.99
11_defence,2020-2021,148732.49,141641.03
11_defence,2021-2022,148732.49,138280.41
11_defence,2022-2023,70038.43,63078.50
2_professional_services,2017-2018,162690.99,167593.24
2_professional_services,2018-2019,662532.51,675284.88
2_professional_services,2019-2020,1309648.27,1298521.12
2_professional_services,2020-2021,1176677.51,1121227.83
2_professional_services,2021-2022,1819979.97,1688156.77
2_professional_services,2022-2023,1229330.91,1098227.36
3_information_technology,2017-2018,430735.64,443914.36
3_information_technology,2018-2019,498633.03,508483.35
3_information_technology,2019-2020,878401.87,869768.30
3_information_technology,2020-2021,2601811.00,2473615.64
3_information_technology,2021-2022,4827979.91,4487775.81
3_information_technology,2022-2023,4507511.45,4036057.90
8_security_and_protection,2022-2023,14318.70,12721.41
9_human_capital,2018-2019,22416.16,22951.06
9_human_capital,2021-2022,133068.32,123040.67
9_human_capital,2022-2023,42940.48,38786.61
