d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2022-2023,320806.50,285903.36
1_facilities_and_construction,2017-2018,93721.59,96418.13
1_facilities_and_construction,2018-2019,364482.72,371329.53
1_facilities_and_construction,2019-2020,221394.44,220970.36
1_facilities_and_construction,2020-2021,280582.09,266787.79
1_facilities_and_construction,2021-2022,161920.53,150845.87
1_facilities_and_construction,2022-2023,51511.43,45847.99
10_office_management,2017-2018,20632.67,21237.23
10_office_management,2018-2019,152401.87,154303.85
10_office_management,2019-2020,333690.42,333064.56
10_office_management,2020-2021,125651.13,119329.37
10_office_management,2021-2022,19818.53,18179.25
10_office_management,2022-2023,687656.91,609649.80
11_defence,2017-2018,227181.32,233690.68
11_defence,2018-2019,545979.36,554155.65
11_defence,2019-2020,784282.73,769208.98
11_defence,2020-2021,963579.54,911041.73
11_defence,2021-2022,435069.14,396507.45
11_defence,2022-2023,1564720.16,1388489.03
2_professional_services,2017-2018,125987.88,130010.39
2_professional_services,2018-2019,259195.82,265502.33
2_professional_services,2020-2021,557626.52,529865.24
2_professional_services,2021-2022,423172.43,398758.88
2_professional_services,2022-2023,123122.25,110057.08
3_information_technology,2017-2018,4526619.63,4665163.27
3_information_technology,2018-2019,9103937.51,9265518.85
3_information_technology,2019-2020,9106368.80,9049418.69
3_information_technology,2020-2021,3158771.50,3003182.33
3_information_technology,2021-2022,1430098.11,1331512.68
3_information_technology,2022-2023,3839842.71,3419428.97
6_industrial_products_and_services,2017-2018,677828.61,697262.05
6_industrial_products_and_services,2018-2019,148295.10,151054.66
6_industrial_products_and_services,2019-2020,347477.88,339546.65
6_industrial_products_and_services,2020-2021,103206.23,97570.29
6_industrial_products_and_services,2021-2022,174344.01,159275.67
6_industrial_products_and_services,2022-2023,257217.34,228034.43
