d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,93721.58727810651
1_facilities_and_construction,2018-2019,364482.71914201183
1_facilities_and_construction,2019-2020,575659.8789871215
1_facilities_and_construction,2020-2021,305248.94554967346
10_office_management,2017-2018,20632.67
10_office_management,2018-2019,152401.8704379562
10_office_management,2019-2020,333690.4195620438
10_office_management,2020-2021,147768.73
11_defence,2017-2018,227181.3204774683
11_defence,2018-2019,545979.3629236945
11_defence,2019-2020,430017.2935462056
11_defence,2020-2021,878856.3430526316
2_professional_services,2017-2018,125987.88000000002
2_professional_services,2018-2019,3006124.0767375887
2_professional_services,2019-2020,1124238.8832624115
2_professional_services,2020-2021,557626.5207641986
3_information_technology,2017-2018,4526619.631446654
3_information_technology,2018-2019,6361891.450997139
3_information_technology,2019-2020,7937561.9295965275
3_information_technology,2020-2021,3158771.504992804
6_industrial_products_and_services,2017-2018,677828.61
6_industrial_products_and_services,2018-2019,148295.1
6_industrial_products_and_services,2019-2020,392045.87452380947
6_industrial_products_and_services,2020-2021,141144.96547619047
