d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,660217.06,677244.84
2_professional_services,2018-2019,645788.73,655728.59
2_professional_services,2019-2020,393243.73,389718.03
2_professional_services,2020-2021,488902.07,463297.52
2_professional_services,2021-2022,209332.50,197936.68
3_information_technology,2017-2018,613774.58,629097.93
3_information_technology,2018-2019,767054.47,777897.71
3_information_technology,2019-2020,1553295.46,1539290.46
3_information_technology,2020-2021,910856.51,866382.03
3_information_technology,2021-2022,193674.97,158665.97
6_industrial_products_and_services,2017-2018,0.00,0.00
6_industrial_products_and_services,2018-2019,0.00,0.00
6_industrial_products_and_services,2019-2020,0.00,0.00
