d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,19975.11,20657.94
1_facilities_and_construction,2018-2019,10518.62,10693.38
1_facilities_and_construction,2019-2020,14153.73,14040.82
1_facilities_and_construction,2020-2021,14115.06,13442.06
1_facilities_and_construction,2021-2022,14115.06,13123.13
1_facilities_and_construction,2022-2023,14115.06,12630.21
10_office_management,2018-2019,1012.57,1022.03
10_office_management,2019-2020,7126.93,7070.08
10_office_management,2020-2021,7107.46,6768.58
10_office_management,2021-2022,7107.46,6607.99
10_office_management,2022-2023,7107.46,6359.78
11_defence,2017-2018,3087255.86,3178036.89
11_defence,2018-2019,8813365.43,8933044.14
11_defence,2019-2020,9708908.43,9592363.31
11_defence,2020-2021,14985150.43,14227978.87
11_defence,2021-2022,19338278.60,17658972.56
11_defence,2022-2023,28841062.76,25585068.91
2_professional_services,2019-2020,19897.94,19959.52
3_information_technology,2017-2018,21174473.27,21807289.06
3_information_technology,2018-2019,8233700.17,8379568.85
3_information_technology,2019-2020,15550198.29,15384568.19
3_information_technology,2020-2021,20542462.07,19545988.88
3_information_technology,2021-2022,28223258.25,26178362.39
3_information_technology,2022-2023,36876820.75,32969808.88
6_industrial_products_and_services,2017-2018,136382.83,140405.01
6_industrial_products_and_services,2018-2019,15685.68,16056.91
8_security_and_protection,2019-2020,2385.59,2359.17
8_security_and_protection,2020-2021,3044.55,2899.39
8_security_and_protection,2021-2022,3044.55,2830.59
8_security_and_protection,2022-2023,3044.55,2724.27
9_human_capital,2022-2023,31594.08,27959.04
