owner_org,d_fiscal_year,total,total_constant_2019_dollars
cra-arc,2017-2018,180133.05,185598.96
cra-arc,2018-2019,13722.26,13850.45
dnd-mdn,2017-2018,24997.09,25710.97
dnd-mdn,2019-2020,34382.15,33939.60
dnd-mdn,2020-2021,14323.57,13496.75
jus,2020-2021,4447.95,4191.19
jus,2021-2022,24947.69,23081.32
jus,2022-2023,20575.95,18411.44
nfb-onf,2019-2020,12548.51,12531.94
nfb-onf,2021-2022,14152.52,12981.90
nfb-onf,2022-2023,74.49,67.28
nrc-cnrc,2019-2020,5473.04,5348.11
nrc-cnrc,2020-2021,7324.21,6918.67
pwgsc-tpsgc,2021-2022,20224.68,18729.08
pwgsc-tpsgc,2022-2023,1826969.99,1631721.79
rcmp-grc,2017-2018,58273.95,59938.17
rcmp-grc,2019-2020,95304.31,93128.97
rcmp-grc,2020-2021,117407.46,110900.03
rcmp-grc,2021-2022,117300.00,108804.58
ssc-spc,2017-2018,3103.12,3200.45
ssc-spc,2018-2019,30740.11,31560.77
