d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,65935.8634889612
1_facilities_and_construction,2018-2019,58467.89608723541
1_facilities_and_construction,2019-2020,39085.38806927518
2_professional_services,2017-2018,1254918.6905132
2_professional_services,2018-2019,1725900.4309079153
2_professional_services,2019-2020,1648431.8402813938
2_professional_services,2020-2021,1348042.8851135643
3_information_technology,2017-2018,316547.6245654693
3_information_technology,2018-2019,875302.1436848204
3_information_technology,2019-2020,910401.2617497103
3_information_technology,2020-2021,12892.26
9_human_capital,2018-2019,72176.48384341637
9_human_capital,2019-2020,134778.53615658364
