d_most_recent_category,d_fiscal_year,total
11_defence,2019-2020,99960.00
11_defence,2021-2022,50921.79
2_professional_services,2017-2018,2728646.53
2_professional_services,2018-2019,3135468.83
2_professional_services,2019-2020,5810640.53
2_professional_services,2020-2021,11244448.24
2_professional_services,2021-2022,12068980.54
3_information_technology,2017-2018,22159884.84
3_information_technology,2018-2019,41423721.89
3_information_technology,2019-2020,38464988.96
3_information_technology,2020-2021,37626141.28
3_information_technology,2021-2022,60580596.31
6_industrial_products_and_services,2020-2021,218384.49
6_industrial_products_and_services,2021-2022,586770.46
9_human_capital,2017-2018,189574.00
9_human_capital,2018-2019,1051718.18
9_human_capital,2019-2020,8029520.38
9_human_capital,2020-2021,7872090.75
9_human_capital,2021-2022,6662705.20
