owner_org,d_fiscal_year,total,total_constant_2019_dollars
atssc-scdata,2017-2018,289244.60,294864.83
atssc-scdata,2018-2019,297077.90,300274.34
atssc-scdata,2019-2020,104526.68,104312.59
atssc-scdata,2020-2021,48278.35,48009.53
atssc-scdata,2021-2022,46802.72,28927.06
cbsa-asfc,2021-2022,35144.28,0.00
ced-dec,2020-2021,68122.69,65838.42
cihr-irsc,2018-2019,97557.36,99414.23
cihr-irsc,2019-2020,37055.28,36950.99
cihr-irsc,2020-2021,578.58,546.88
cihr-irsc,2021-2022,6211.23,4718.30
cra-arc,2017-2018,95193.48,97792.73
cra-arc,2018-2019,22028.91,22310.03
cra-arc,2019-2020,1145937.70,1143460.94
cra-arc,2020-2021,844268.49,836771.60
cra-arc,2021-2022,6105.44,3935.67
csa-asc,2017-2018,157315.89,161532.83
csa-asc,2018-2019,157315.89,159323.48
csc-scc,2017-2018,521024.67,535204.49
csc-scc,2018-2019,243083.47,245895.78
csc-scc,2019-2020,17829.17,17777.66
dfatd-maecd,2018-2019,20727.74,21067.92
dnd-mdn,2017-2018,228276.52,235059.88
dnd-mdn,2018-2019,2654138.79,2681315.04
dnd-mdn,2019-2020,1187679.60,1183443.27
dnd-mdn,2020-2021,2758464.72,2616673.13
dnd-mdn,2021-2022,378648.56,184122.21
ec,2017-2018,16910.18,17216.64
ec,2018-2019,357682.06,361849.40
ec,2019-2020,231690.22,231215.42
ec,2020-2021,124585.21,117885.76
ec,2021-2022,459553.42,69823.49
elections,2017-2018,682471.27,698084.51
elections,2018-2019,346598.11,351228.83
elections,2019-2020,419987.89,419173.00
elections,2020-2021,316857.59,309911.56
elections,2021-2022,322295.36,249140.45
fintrac-canafe,2019-2020,79326.00,79163.52
hc-sc,2017-2018,248156.86,252658.02
hc-sc,2018-2019,999144.46,1012574.77
hc-sc,2019-2020,2338845.56,2333393.97
hc-sc,2020-2021,1005706.01,975515.94
hc-sc,2021-2022,183878.07,169846.90
ic,2017-2018,77169.68,79246.48
ic,2019-2020,3987.44,3992.91
ic,2020-2021,18778.88,18388.43
ic,2021-2022,17594.09,13917.87
lac-bac,2018-2019,583986.13,592208.48
lac-bac,2019-2020,1338599.45,1335288.93
lac-bac,2020-2021,1834194.74,1795065.22
lac-bac,2021-2022,1834712.36,1396188.95
mgerc-ceegm,2020-2021,23533.09,23225.68
nrc-cnrc,2017-2018,2968.80,3019.80
nrc-cnrc,2018-2019,97343.25,98633.37
nrc-cnrc,2019-2020,74532.19,74373.37
nrc-cnrc,2020-2021,90042.47,88834.29
nrc-cnrc,2021-2022,232289.05,177725.88
nrcan-rncan,2017-2018,11366.67,11769.55
nrcan-rncan,2018-2019,821214.58,831168.83
nrcan-rncan,2019-2020,738787.52,737595.26
nrcan-rncan,2020-2021,615056.69,601248.94
nrcan-rncan,2021-2022,82739.03,49479.69
oag-bvg,2018-2019,113991.03,115421.86
osfi-bsif,2017-2018,355697.33,364739.15
osfi-bsif,2018-2019,512007.87,517308.92
osfi-bsif,2019-2020,412526.92,411503.48
osfi-bsif,2020-2021,251139.17,251878.22
osfi-bsif,2021-2022,48986.53,37212.15
ps-sp,2017-2018,856304.79,871189.32
ps-sp,2018-2019,36458.32,37106.24
pwgsc-tpsgc,2017-2018,2877190.07,2944825.50
pwgsc-tpsgc,2018-2019,3466902.54,3508855.23
pwgsc-tpsgc,2019-2020,3029898.68,3022386.03
pwgsc-tpsgc,2020-2021,1814792.74,1783733.81
pwgsc-tpsgc,2021-2022,3028696.85,2067381.97
rcmp-grc,2017-2018,1034270.81,1052036.84
rcmp-grc,2020-2021,15352.11,14962.84
rcmp-grc,2021-2022,118612.62,87168.79
ssc-spc,2017-2018,24372030.47,24980664.57
ssc-spc,2018-2019,23095330.89,23386767.23
ssc-spc,2019-2020,32996231.27,32930491.15
ssc-spc,2020-2021,46809454.14,45700591.09
ssc-spc,2021-2022,61757367.80,46780869.45
tbs-sct,2017-2018,59068.95,60083.59
tbs-sct,2018-2019,54257.97,54915.73
tbs-sct,2019-2020,122493.01,122399.09
tbs-sct,2020-2021,72764.79,71768.94
tbs-sct,2021-2022,24288.99,18864.36
tc,2019-2020,83902.50,83892.47
tc,2020-2021,106217.83,100870.19
