d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,3115620.6598850116
1_facilities_and_construction,2018-2019,1347322.5465242073
1_facilities_and_construction,2019-2020,8412642.157409519
1_facilities_and_construction,2020-2021,10728908.542160317
11_defence,2017-2018,112005133.82459629
11_defence,2018-2019,119300812.28631638
11_defence,2019-2020,118648141.76433125
11_defence,2020-2021,111845089.84575263
2_professional_services,2017-2018,238440.57047554528
2_professional_services,2018-2019,227289.2154523114
2_professional_services,2019-2020,1376075.983921536
2_professional_services,2020-2021,1785816.0237708176
3_information_technology,2017-2018,745439.6038050752
3_information_technology,2018-2019,1831177.1919969558
3_information_technology,2019-2020,1533459.4104965024
3_information_technology,2020-2021,1385164.4907373313
5_transportation_and_logistics,2017-2018,65909.29000000001
6_industrial_products_and_services,2017-2018,3152556.776714863
6_industrial_products_and_services,2018-2019,796032.9258307627
6_industrial_products_and_services,2019-2020,4694884.758898945
6_industrial_products_and_services,2020-2021,4493549.310510107
9_human_capital,2018-2019,56975.56799654577
9_human_capital,2019-2020,48629.16200345423
9_human_capital,2020-2021,24999.89
