d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,484982.61,496909.61
it_consulting_services,2018-2019,884981.66,898744.43
it_consulting_services,2019-2020,864599.40,856287.65
it_consulting_services,2020-2021,1548775.59,1471471.85
it_consulting_services,2021-2022,1626884.27,1504347.33
it_software_licensing,2017-2018,92096.08,94553.16
it_software_licensing,2018-2019,218905.46,221299.55
it_software_licensing,2019-2020,530592.05,526114.40
it_software_licensing,2020-2021,529142.35,503039.90
it_software_licensing,2021-2022,529142.35,491279.57
