owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,208651.73,214076.21
aafc-aac,2018-2019,256298.04,259568.80
aafc-aac,2019-2020,257000.23,256473.83
crtc,2018-2019,12988.19,13113.88
crtc,2019-2020,7351.81,7348.45
dfatd-maecd,2019-2020,9664.47,9677.72
dfatd-maecd,2020-2021,69685.93,68475.19
irb-cisr,2019-2020,105655.00,105375.35
irb-cisr,2020-2021,38420.00,37540.29
pco-bcp,2017-2018,15200.86,15461.97
pco-bcp,2018-2019,8604.26,8695.54
ssc-spc,2017-2018,1015610.33,1038493.90
ssc-spc,2018-2019,3422135.45,3466172.99
ssc-spc,2019-2020,839635.01,838026.58
ssc-spc,2020-2021,548758.28,538055.38
ssc-spc,2021-2022,277130.70,200838.71
