owner_org,d_fiscal_year,total,total_constant_2019_dollars
csc-scc,2018-2019,31078.14,31385.99
csc-scc,2019-2020,10144.79,10140.16
dnd-mdn,2017-2018,215771.40,221555.26
dnd-mdn,2018-2019,226567.96,229400.32
dnd-mdn,2019-2020,151703.37,151302.89
dnd-mdn,2020-2021,105219.95,105640.11
hc-sc,2017-2018,44084.29,44955.19
isc-sac,2017-2018,49322.60,50169.83
isc-sac,2018-2019,44935.00,45375.37
isc-sac,2020-2021,311936.20,303186.36
phac-aspc,2019-2020,440177.51,440781.05
phac-aspc,2020-2021,108178807.72,105892326.68
phac-aspc,2021-2022,552020.22,423187.04
statcan,2018-2019,10559.85,10671.88
