d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,161311.79,163106.69
1_facilities_and_construction,2019-2020,201928.21,201711.13
2_professional_services,2017-2018,43007.16,44066.22
2_professional_services,2018-2019,23776.71,24020.37
2_professional_services,2019-2020,435819.79,429078.56
2_professional_services,2020-2021,554420.12,526618.57
2_professional_services,2021-2022,440630.35,409172.69
9_human_capital,2017-2018,49290.00,50471.74
9_human_capital,2018-2019,180794.22,183467.27
9_human_capital,2019-2020,158938.86,157742.85
9_human_capital,2020-2021,256757.34,244021.99
9_human_capital,2021-2022,329908.82,307154.59
