owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,2079182.37,2129902.34
aafc-aac,2018-2019,2121179.14,2146526.50
aafc-aac,2019-2020,2983943.73,2950380.23
aafc-aac,2020-2021,1252192.21,1186530.58
aafc-aac,2021-2022,1169956.38,1069330.35
cbsa-asfc,2017-2018,267513.60,274001.32
cbsa-asfc,2018-2019,221523.40,224821.21
cbsa-asfc,2019-2020,370874.77,366541.79
cbsa-asfc,2020-2021,205330.96,195230.52
cbsa-asfc,2021-2022,245593.45,227248.19
cfia-acia,2017-2018,801230.05,821096.50
cfia-acia,2018-2019,415811.60,422393.27
cfia-acia,2019-2020,578616.22,569685.72
cfia-acia,2020-2021,1066803.49,1012138.22
cfia-acia,2021-2022,1131389.06,1039256.26
cgc-ccg,2017-2018,926352.13,948619.21
cgc-ccg,2018-2019,1302664.82,1322658.53
cgc-ccg,2019-2020,295553.86,292285.51
cgc-ccg,2020-2021,549406.68,520191.60
cgc-ccg,2021-2022,907204.81,849667.85
cnsc-ccsn,2018-2019,23654.95,23937.36
cnsc-ccsn,2020-2021,6588.11,6227.19
cnsc-ccsn,2021-2022,20378.48,18920.30
csc-scc,2017-2018,25424.30,26082.42
csc-scc,2018-2019,26983.75,27403.39
csc-scc,2019-2020,38304.68,37804.16
csc-scc,2020-2021,22621.99,21545.54
dfo-mpo,2017-2018,300619.50,307852.07
dfo-mpo,2018-2019,326505.82,330188.50
dfo-mpo,2019-2020,449052.81,442436.50
dfo-mpo,2020-2021,407435.28,384988.63
dfo-mpo,2021-2022,865725.43,786916.65
dnd-mdn,2017-2018,904582.11,927417.36
dnd-mdn,2018-2019,771940.04,782886.38
dnd-mdn,2019-2020,1065430.07,1054946.64
dnd-mdn,2020-2021,854370.46,812909.26
dnd-mdn,2021-2022,946228.05,876914.78
ec,2017-2018,1178931.53,1208795.75
ec,2018-2019,843943.00,855881.92
ec,2019-2020,1552427.54,1528914.77
ec,2020-2021,2109601.47,2007571.01
ec,2021-2022,2759856.84,2528476.33
hc-sc,2017-2018,3116261.15,3189960.05
hc-sc,2018-2019,1316400.64,1330405.84
hc-sc,2019-2020,2269675.37,2234407.60
hc-sc,2020-2021,995263.84,943050.16
hc-sc,2021-2022,1322502.17,1209274.23
ic,2017-2018,34219.79,35026.42
isc-sac,2017-2018,10723.90,10976.68
isc-sac,2019-2020,26162.33,26116.07
isc-sac,2020-2021,52402.14,49660.46
isc-sac,2021-2022,62680.11,56831.20
nrc-cnrc,2017-2018,974536.75,999317.84
nrc-cnrc,2018-2019,1517414.10,1535935.67
nrc-cnrc,2019-2020,1126983.52,1108162.46
nrc-cnrc,2020-2021,6281992.40,5941655.76
nrc-cnrc,2021-2022,3143101.36,2897318.83
nrcan-rncan,2017-2018,485547.89,497608.74
nrcan-rncan,2018-2019,514442.70,521532.63
nrcan-rncan,2019-2020,347028.75,340468.94
nrcan-rncan,2020-2021,482188.55,454970.72
nrcan-rncan,2021-2022,1734591.44,1571882.93
pc,2020-2021,82451.00,78939.50
phac-aspc,2017-2018,2323803.15,2379689.03
phac-aspc,2018-2019,873194.64,883603.42
phac-aspc,2019-2020,485312.93,478730.78
phac-aspc,2020-2021,6442102.97,6135428.19
phac-aspc,2021-2022,1137178.31,1049347.11
rcmp-grc,2017-2018,306709.07,314686.99
rcmp-grc,2018-2019,432491.14,439143.67
rcmp-grc,2019-2020,567886.20,561730.65
rcmp-grc,2020-2021,505097.88,477709.90
rcmp-grc,2021-2022,321078.92,297541.82
statcan,2017-2018,29204.88,29942.29
tc,2019-2020,56546.06,55322.82
