d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,183698.46,187142.34
10_office_management,2018-2019,634171.45,641221.24
10_office_management,2019-2020,2077516.69,2073321.69
10_office_management,2020-2021,1821720.93,1783017.68
10_office_management,2021-2022,2074428.31,1563606.59
2_professional_services,2017-2018,200729.66,205742.67
2_professional_services,2018-2019,213878.65,216574.83
2_professional_services,2019-2020,513821.01,513042.55
2_professional_services,2020-2021,353443.69,341541.53
2_professional_services,2021-2022,412873.02,237098.35
3_information_technology,2017-2018,128941.72,131449.16
3_information_technology,2018-2019,177297.39,179746.38
3_information_technology,2019-2020,543054.20,543026.74
3_information_technology,2020-2021,1470429.40,1436564.68
3_information_technology,2021-2022,1592775.13,1219053.42
6_industrial_products_and_services,2017-2018,24333.75,24820.88
6_industrial_products_and_services,2020-2021,7513.33,7227.88
6_industrial_products_and_services,2021-2022,6976.67,6404.06
9_human_capital,2017-2018,1520576.31,1561155.65
9_human_capital,2018-2019,1726103.24,1748066.52
9_human_capital,2019-2020,1813239.39,1809594.49
9_human_capital,2020-2021,1408209.69,1378836.51
9_human_capital,2021-2022,1602700.95,1235647.51
