d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_devices_equipment,2017-2018,18881890.48,19351164.37
it_devices_equipment,2018-2019,20028816.39,20274116.90
it_devices_equipment,2019-2020,18654070.62,18524087.00
it_devices_equipment,2020-2021,10929042.96,10417814.19
it_devices_equipment,2021-2022,35375.34,33001.28
it_other,2017-2018,2100821.70,2150562.52
it_other,2018-2019,68847.88,69580.35
it_other,2019-2020,2227.93,2203.99
it_other,2020-2021,2648.84,2518.17
it_other,2021-2022,2648.84,2459.30
