owner_org,d_fiscal_year,total,total_constant_2019_dollars
csc-scc,2020-2021,135783.45,129453.41
csc-scc,2021-2022,161562.03,151377.62
dnd-mdn,2017-2018,251994.28,259717.71
dnd-mdn,2018-2019,517048.82,522338.48
dnd-mdn,2019-2020,2761260.91,2739365.16
dnd-mdn,2020-2021,2711566.05,2585137.83
dnd-mdn,2021-2022,2273258.11,2138837.33
ec,2017-2018,311539.19,321087.63
ec,2018-2019,311539.19,317233.81
ec,2019-2020,312392.72,309885.74
ec,2020-2021,311539.19,297013.51
ec,2021-2022,474916.06,441145.83
nrcan-rncan,2017-2018,67879.63,69785.24
nrcan-rncan,2018-2019,342374.13,348624.15
nrcan-rncan,2019-2020,346175.24,343374.31
nrcan-rncan,2020-2021,414541.84,395413.53
nrcan-rncan,2021-2022,451301.89,422356.70
pwgsc-tpsgc,2020-2021,101225.90,96637.73
pwgsc-tpsgc,2021-2022,237500.49,222243.71
tc,2021-2022,89164.97,82796.65
