d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,32225215.40,33213990.69
it_consulting_services,2018-2019,48180336.75,49080318.91
it_consulting_services,2019-2020,66095487.57,65545407.19
it_consulting_services,2020-2021,64947105.71,61832024.91
it_consulting_services,2021-2022,57113840.76,53079879.93
it_consulting_services,2022-2023,78976644.55,70610747.89
it_software_licensing,2017-2018,852972.74,878949.83
it_software_licensing,2018-2019,708054.83,723518.78
it_software_licensing,2019-2020,1054160.67,1044264.27
it_software_licensing,2020-2021,1845150.84,1756222.42
it_software_licensing,2021-2022,3244805.48,3007900.19
it_software_licensing,2022-2023,3833505.96,3427644.10
