d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,6622711.73,6792794.49
it_consulting_services,2018-2019,5970920.88,6061320.71
it_consulting_services,2019-2020,5787464.82,5741145.06
it_consulting_services,2020-2021,4297822.81,4085019.22
it_consulting_services,2021-2022,6906756.29,6398054.37
it_other,2017-2018,49462.28,50776.36
it_other,2018-2019,28034.74,28470.72
it_other,2019-2020,28111.55,27874.32
it_other,2020-2021,64734.01,61542.53
it_other,2021-2022,90765.44,84270.72
it_software_licensing,2017-2018,392519.70,402562.46
it_software_licensing,2018-2019,363028.94,368627.51
it_software_licensing,2019-2020,190742.92,190600.48
it_software_licensing,2020-2021,90343.53,85973.39
it_software_licensing,2021-2022,120143.81,111072.84
