normalized_vendor_name,original_vendor_name
TURTLE ISLAND STAFFING,Turtle Island Staffing
TURTLE ISLAND STAFFING,TURTLE ISLAND STAFFING
TURTLE ISLAND STAFFING,TURTLE ISLAND STAFFING INC.
TURTLE ISLAND STAFFING,Turtle Island Staffing Inc.
TURTLE ISLAND STAFFING,Turtule Island Staffing
TURTLE ISLAND STAFFING,turtle island Staffing
TURTLE ISLAND STAFFING,TURTLE ISLAND STAFFING INC
TURTLE ISLAND STAFFING,Turtle Island Staffind Inc.
TURTLE ISLAND STAFFING,Turtle Island Staffing Inc
TURTLE ISLAND STAFFING,Turtle Island Staffing inc.
TURTLE ISLAND STAFFING,Turtle Island Staffing inc
TURTLE ISLAND STAFFING,Turtle Island Staffind inc
TURTLE ISLAND STAFFING,Turtle island Staffing
