owner_org,d_fiscal_year,total
cta-otc,2017-2018,29602.65
cta-otc,2018-2019,29602.65
cta-otc,2019-2020,29683.76
cta-otc,2020-2021,29602.65
hc-sc,2018-2019,20306.60
hc-sc,2019-2020,110773.40
ic,2018-2019,188.88
ic,2019-2020,11645.45
ic,2020-2021,24577.50
nrc-cnrc,2017-2018,24995.60
nrc-cnrc,2018-2019,24995.60
nrc-cnrc,2019-2020,24995.60
nrc-cnrc,2020-2021,56360.38
ocol-clo,2020-2021,0.00
osfi-bsif,2017-2018,262634.74
osfi-bsif,2018-2019,262634.74
osfi-bsif,2019-2020,263354.28
osfi-bsif,2020-2021,334558.46
pch,2018-2019,32397.25
pch,2019-2020,6025.10
pch,2020-2021,12299.49
phac-aspc,2018-2019,84750.00
phac-aspc,2019-2020,55935.00
pwgsc-tpsgc,2017-2018,683735.38
pwgsc-tpsgc,2018-2019,468515.92
pwgsc-tpsgc,2019-2020,3998689.30
pwgsc-tpsgc,2020-2021,14076830.09
statcan,2019-2020,367250.00
tc,2018-2019,189004.99
tc,2019-2020,206495.01
wage,2019-2020,25000.00
wage,2020-2021,225205.48
