d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2191031.50,2249763.24
1_facilities_and_construction,2018-2019,2191031.50,2218992.38
1_facilities_and_construction,2019-2020,2197034.33,2192534.22
1_facilities_and_construction,2020-2021,20522.61,20130.19
1_facilities_and_construction,2021-2022,17012.03,12923.03
10_office_management,2017-2018,1184149.61,1215465.68
10_office_management,2018-2019,1236398.18,1252176.49
10_office_management,2019-2020,1239785.57,1237246.17
10_office_management,2020-2021,1216892.29,1191981.47
10_office_management,2021-2022,1105327.91,847920.24
11_defence,2017-2018,9474518.67,9725899.32
11_defence,2018-2019,9790413.22,9915353.73
11_defence,2019-2020,10449933.78,10428229.53
11_defence,2020-2021,10533591.81,10314815.36
11_defence,2021-2022,8268583.82,6775301.31
2_professional_services,2017-2018,3861946.71,3967129.24
2_professional_services,2018-2019,3102955.40,3143268.87
2_professional_services,2019-2020,2396340.65,2391416.14
2_professional_services,2020-2021,2375541.22,2325625.72
2_professional_services,2021-2022,2356039.88,1804557.13
6_industrial_products_and_services,2017-2018,7555193.86,7695823.17
6_industrial_products_and_services,2018-2019,15151899.77,15345260.97
6_industrial_products_and_services,2019-2020,15193411.83,15162291.73
6_industrial_products_and_services,2020-2021,15247519.77,14923905.16
6_industrial_products_and_services,2021-2022,16398374.72,12456868.26
8_security_and_protection,2017-2018,258528.41,265458.40
8_security_and_protection,2018-2019,258528.41,261827.62
8_security_and_protection,2019-2020,259236.70,258705.72
8_security_and_protection,2020-2021,258528.41,253096.14
8_security_and_protection,2021-2022,129618.35,118975.82
9_human_capital,2017-2018,350128.99,358732.14
9_human_capital,2018-2019,440679.59,446303.33
9_human_capital,2019-2020,441886.93,440981.83
9_human_capital,2020-2021,440679.59,431419.91
9_human_capital,2021-2022,440679.59,334758.03
