d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2018-2019,22000.00,22216.46
0_other,2021-2022,0.00,0.00
1_facilities_and_construction,2017-2018,299340.33,306854.62
1_facilities_and_construction,2018-2019,478338.05,486130.29
1_facilities_and_construction,2019-2020,429191.05,425038.18
1_facilities_and_construction,2020-2021,575725.78,547424.32
1_facilities_and_construction,2021-2022,439786.57,407954.63
10_office_management,2017-2018,24600.00,25179.87
2_professional_services,2017-2018,562784.78,576950.49
2_professional_services,2018-2019,1501167.48,1521073.25
2_professional_services,2019-2020,2315264.51,2290443.31
2_professional_services,2020-2021,1238233.40,1173393.04
2_professional_services,2021-2022,1478192.38,1367086.83
3_information_technology,2017-2018,71126.35,72969.46
3_information_technology,2018-2019,76466.48,77632.40
3_information_technology,2019-2020,10858.27,10766.64
3_information_technology,2020-2021,10828.60,10294.43
3_information_technology,2021-2022,32727.50,30109.07
6_industrial_products_and_services,2017-2018,20479.15,21009.83
6_industrial_products_and_services,2018-2019,20479.15,20797.63
6_industrial_products_and_services,2019-2020,25929.49,25744.82
9_human_capital,2017-2018,189634.94,194326.87
9_human_capital,2018-2019,245572.68,249558.82
9_human_capital,2019-2020,93457.25,92460.59
9_human_capital,2020-2021,111863.47,106419.83
9_human_capital,2021-2022,173922.73,160474.03
