owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2017-2018,76173.82,78272.95
aafc-aac,2018-2019,20921.18,21342.93
aafc-aac,2019-2020,43657.86,43234.90
aafc-aac,2020-2021,48746.99,46353.08
aafc-aac,2021-2022,51947.86,48400.84
aandc-aadnc,2017-2018,12096.00,12446.26
cer-rec,2017-2018,62137.60,64021.92
cer-rec,2018-2019,20487.40,21010.24
cic,2019-2020,14000.00,13836.74
cnsc-ccsn,2019-2020,6931.02,6765.92
cnsc-ccsn,2020-2021,32522.48,30649.03
csa-asc,2017-2018,247707.91,255299.97
csa-asc,2018-2019,100862.07,102581.65
csa-asc,2019-2020,109247.42,108534.73
csa-asc,2020-2021,294632.37,279885.19
csa-asc,2021-2022,488572.40,462913.29
dfo-mpo,2017-2018,23625.00,24292.21
dfo-mpo,2018-2019,51975.00,52418.26
dfo-mpo,2019-2020,44100.00,43049.50
dfo-mpo,2020-2021,88357.50,83801.95
dfo-mpo,2021-2022,0.00,0.00
dnd-mdn,2017-2018,188333.33,194091.08
dnd-mdn,2018-2019,101666.67,104105.85
dnd-mdn,2019-2020,16549.90,16155.67
dnd-mdn,2020-2021,183928.16,175602.05
dnd-mdn,2021-2022,62880.00,58840.65
ec,2017-2018,39838.23,40993.83
ec,2018-2019,171815.03,174081.57
ec,2019-2020,123163.34,122030.44
ec,2020-2021,37875.13,36313.67
ec,2021-2022,105651.21,97794.67
esdc-edsc,2017-2018,45246.88,46514.45
esdc-edsc,2018-2019,20819.12,21350.43
hc-sc,2017-2018,70154.45,72149.24
hc-sc,2018-2019,113412.73,115496.70
hc-sc,2019-2020,43745.11,43137.33
hc-sc,2020-2021,61310.14,58451.52
ic,2017-2018,1640.79,1686.01
ic,2018-2019,33834.21,34422.85
ic,2019-2020,24675.00,24436.64
ic,2020-2021,21560.00,20614.74
ic,2021-2022,2800.00,2667.86
isc-sac,2020-2021,3350.26,3177.53
isc-sac,2021-2022,13895.99,13003.32
nrc-cnrc,2017-2018,111007.00,114092.20
nrc-cnrc,2018-2019,467955.38,475761.49
nrc-cnrc,2019-2020,943571.64,934241.80
nrc-cnrc,2020-2021,747437.32,712738.77
nrc-cnrc,2021-2022,679688.75,635159.02
nrcan-rncan,2017-2018,140284.50,144327.89
nrcan-rncan,2018-2019,189709.15,191848.48
nrcan-rncan,2019-2020,222916.35,219075.33
nrcan-rncan,2020-2021,160973.89,152889.90
nrcan-rncan,2021-2022,310713.95,284477.42
phac-aspc,2017-2018,146891.44,151386.66
phac-aspc,2018-2019,1018194.49,1035074.28
phac-aspc,2019-2020,1272733.84,1262017.79
phac-aspc,2020-2021,207566.10,197887.10
phac-aspc,2021-2022,388479.03,358659.02
rcmp-grc,2018-2019,13200.00,13369.65
tc,2017-2018,2828.57,2906.52
tc,2018-2019,19171.43,19631.39
tc,2019-2020,9409.09,9184.96
tc,2020-2021,48390.91,46174.13
tc,2021-2022,20000.00,18764.30
