owner_org,d_fiscal_year,total,total_constant_2019_dollars
cer-rec,2017-2018,691645.97,713053.28
cer-rec,2018-2019,667145.97,679930.58
cer-rec,2019-2020,391148.60,390823.78
csa-asc,2017-2018,1903147.73,1961976.07
csa-asc,2018-2019,1747567.33,1780047.90
csa-asc,2019-2020,1553315.34,1541775.29
csa-asc,2020-2021,998490.79,951737.08
csa-asc,2021-2022,738820.73,686900.59
csa-asc,2022-2023,362293.02,324690.83
dfo-mpo,2017-2018,25990.00,26732.23
dnd-mdn,2017-2018,58862.31,60681.80
dnd-mdn,2018-2019,444827.92,450956.64
dnd-mdn,2019-2020,936903.56,927797.28
dnd-mdn,2020-2021,1456321.11,1390451.88
dnd-mdn,2021-2022,996118.71,926234.43
dnd-mdn,2022-2023,796322.03,712303.32
ec,2018-2019,24900.03,25221.79
ec,2019-2020,21420.00,20931.09
ec,2020-2021,80913.65,76470.68
ec,2021-2022,34130.25,31265.12
fin,2021-2022,2918.76,2638.51
fin,2022-2023,22081.04,19907.29
hc-sc,2017-2018,6139.15,6331.70
hc-sc,2018-2019,5564.45,5616.44
hc-sc,2019-2020,14335.55,14354.51
hc-sc,2021-2022,40680.00,38294.54
nrc-cnrc,2019-2020,25000.00,24429.37
nrc-cnrc,2020-2021,44660.71,42460.17
nrc-cnrc,2021-2022,32589.29,30299.10
nrc-cnrc,2022-2023,89942.50,80072.71
nrcan-rncan,2017-2018,118140.00,121654.46
nrcan-rncan,2018-2019,63304.50,64276.04
nrcan-rncan,2019-2020,182047.04,179587.77
nrcan-rncan,2020-2021,133839.32,126624.11
nrcan-rncan,2021-2022,219079.50,201554.77
nrcan-rncan,2022-2023,77820.65,69045.62
pc,2019-2020,4364.89,4265.26
pc,2020-2021,19205.51,18142.09
pc,2021-2022,11319.00,10232.20
phac-aspc,2017-2018,38603.85,39797.14
phac-aspc,2018-2019,38603.85,39343.62
phac-aspc,2019-2020,38709.62,38400.83
phac-aspc,2020-2021,38603.85,36763.25
phac-aspc,2021-2022,27967.50,26190.95
polar-polaire,2022-2023,32686.71,28925.95
wage,2020-2021,54428.62,51746.97
wage,2021-2022,109156.29,101485.40
wage,2022-2023,54727.67,49335.02
