d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,101700.58,104478.39
0_other,2018-2019,98760.64,100039.19
0_other,2019-2020,188140.96,185922.78
1_facilities_and_construction,2017-2018,27503.10,28171.24
1_facilities_and_construction,2018-2019,703713.37,711762.03
1_facilities_and_construction,2019-2020,865995.07,862533.22
1_facilities_and_construction,2020-2021,838561.46,795822.20
1_facilities_and_construction,2021-2022,759528.97,703986.91
10_office_management,2017-2018,242565.80,249333.87
11_defence,2017-2018,1018.01,1046.17
2_professional_services,2017-2018,1302265.48,1335124.88
2_professional_services,2018-2019,1363763.18,1382520.32
2_professional_services,2019-2020,2546684.58,2519265.16
2_professional_services,2020-2021,4046598.45,3846842.44
2_professional_services,2021-2022,2518684.32,1810231.29
3_information_technology,2017-2018,64445.31,66115.30
3_information_technology,2019-2020,33403.62,32717.06
3_information_technology,2020-2021,40000.00,38157.87
4_medical,2017-2018,437609.91,448909.42
4_medical,2018-2019,440465.48,447315.36
4_medical,2019-2020,427928.32,424317.04
4_medical,2020-2021,426759.12,405707.21
4_medical,2021-2022,420101.66,327038.60
6_industrial_products_and_services,2017-2018,24921.60,25565.86
6_industrial_products_and_services,2021-2022,24973.00,23129.22
9_human_capital,2017-2018,203907.43,209020.29
9_human_capital,2018-2019,451252.87,457171.41
9_human_capital,2019-2020,1278320.76,1262209.32
9_human_capital,2020-2021,1368298.17,1299135.93
9_human_capital,2021-2022,1724037.87,1267393.85
