owner_org,d_fiscal_year,total,total_constant_2019_dollars
aafc-aac,2019-2020,23143.15,23128.34
aafc-aac,2020-2021,37150.85,37068.47
aandc-aadnc,2018-2019,12284.00,12451.29
csc-scc,2019-2020,2314.90,2318.08
csc-scc,2020-2021,15088.20,14771.16
csc-scc,2021-2022,8804.90,8053.58
dfo-mpo,2020-2021,71251.87,68287.22
dfo-mpo,2021-2022,172670.49,106090.55
ec,2017-2018,36257.81,36907.82
ec,2018-2019,43743.75,44167.08
fja-cmf,2021-2022,22195.21,10033.39
hc-sc,2019-2020,15400.00,15363.28
hc-sc,2020-2021,36950.00,35179.90
nrcan-rncan,2018-2019,24249.17,24611.86
nrcan-rncan,2021-2022,15000.00,5911.41
pch,2018-2019,39960.00,40653.56
pch,2019-2020,26189.16,26177.21
phac-aspc,2021-2022,7051.20,1609.29
rcmp-grc,2017-2018,177669.05,180907.15
rcmp-grc,2018-2019,2706070.88,2740547.21
rcmp-grc,2019-2020,2589014.69,2583711.71
rcmp-grc,2020-2021,2685925.34,2632582.54
rcmp-grc,2021-2022,2581940.88,1961346.65
