d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,49416.365777080064
1_facilities_and_construction,2020-2021,128949.66392106989
2_professional_services,2017-2018,723378.2125688914
2_professional_services,2018-2019,783227.399164948
2_professional_services,2019-2020,1003946.9264511365
2_professional_services,2020-2021,887078.4762369194
6_industrial_products_and_services,2017-2018,7803.78922234392
6_industrial_products_and_services,2018-2019,15650.456407447973
6_industrial_products_and_services,2019-2020,15693.334370208104
6_industrial_products_and_services,2020-2021,15650.456407447973
9_human_capital,2018-2019,112204.60555555555
9_human_capital,2019-2020,347224.94646600774
9_human_capital,2020-2021,208324.81331176998
