owner_org,d_fiscal_year,total,total_constant_2019_dollars
cer-rec,2017-2018,854.77,881.83
cic,2017-2018,40629.80,41875.07
cihr-irsc,2017-2018,98788.00,101527.13
cihr-irsc,2018-2019,22600.00,22954.32
cihr-irsc,2019-2020,59406.16,58929.42
cihr-irsc,2020-2021,59243.84,56481.57
cihr-irsc,2021-2022,62150.00,58157.55
ec,2018-2019,24432.19,24872.77
hc-sc,2017-2018,66670.00,68522.55
hc-sc,2018-2019,96615.00,98373.70
hc-sc,2019-2020,202270.00,200646.76
hc-sc,2020-2021,34338.61,32701.07
hc-sc,2021-2022,44635.00,41738.45
oag-bvg,2017-2018,0.00,0.00
oag-bvg,2018-2019,0.00,0.00
ocol-clo,2018-2019,11481.77,11691.65
ocol-clo,2019-2020,11513.23,11420.83
ocol-clo,2020-2021,0.00,0.00
ocol-clo,2021-2022,0.00,0.00
opc-cpvp,2020-2021,12123.68,11498.60
opc-cpvp,2021-2022,61460.32,57512.17
osfi-bsif,2020-2021,49390.06,46999.60
osfi-bsif,2021-2022,148986.55,139415.81
pc,2020-2021,44532.43,42422.46
pc,2021-2022,22976.36,21490.30
phac-aspc,2017-2018,98233.27,101016.55
phac-aspc,2018-2019,179593.27,182804.03
phac-aspc,2019-2020,127097.60,126077.63
pwgsc-tpsgc,2017-2018,1666288.67,1717148.50
pwgsc-tpsgc,2018-2019,334243.24,342670.62
pwgsc-tpsgc,2019-2020,309377.28,304883.50
pwgsc-tpsgc,2020-2021,1011784.99,964197.01
pwgsc-tpsgc,2021-2022,1634404.03,1529111.24
sshrc-crsh,2017-2018,58507.11,60300.31
sshrc-crsh,2018-2019,58507.11,59576.56
sshrc-crsh,2019-2020,58667.40,58196.59
sshrc-crsh,2020-2021,49049.79,46809.47
tc,2018-2019,51767.32,52422.12
tc,2019-2020,19827.09,19667.97
tc,2020-2021,15601.64,14894.78
tsb-bst,2017-2018,130115.16,134113.36
tsb-bst,2018-2019,119902.50,122094.20
tsb-bst,2019-2020,140000.00,138316.20
wage,2019-2020,39000.00,38857.82
