d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,401047.75,413444.56
1_facilities_and_construction,2018-2019,401047.75,408733.08
1_facilities_and_construction,2019-2020,186715.80,185888.79
1_facilities_and_construction,2020-2021,20000.00,18941.10
1_facilities_and_construction,2022-2023,2299943.61,2049773.42
11_defence,2017-2018,11922.46,12296.39
2_professional_services,2017-2018,744142.77,767150.28
2_professional_services,2018-2019,732530.79,746568.38
2_professional_services,2019-2020,734537.73,728678.33
2_professional_services,2020-2021,829710.79,790194.33
2_professional_services,2021-2022,227971.63,211951.08
2_professional_services,2022-2023,1586649.56,1414098.66
3_information_technology,2017-2018,291559.88,300572.31
3_information_technology,2018-2019,291559.88,297147.08
3_information_technology,2019-2020,318447.11,315519.50
3_information_technology,2020-2021,316434.44,301347.06
3_information_technology,2021-2022,342100.16,318558.97
3_information_technology,2022-2023,440684.37,394808.61
9_human_capital,2021-2022,26555.00,24355.44
