d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,789478.9384021334
1_facilities_and_construction,2018-2019,1147653.2940873154
1_facilities_and_construction,2019-2020,1080091.5076143073
1_facilities_and_construction,2020-2021,1321145.4510091546
2_professional_services,2017-2018,81818.67376193072
2_professional_services,2018-2019,263725.28211296746
2_professional_services,2019-2020,69117.59160473743
2_professional_services,2020-2021,32938.915864830095
3_information_technology,2017-2018,71680.89380127621
3_information_technology,2018-2019,85946.24411764706
3_information_technology,2019-2020,357939.0137245011
3_information_technology,2020-2021,84397.20215785179
4_medical,2018-2019,47068.909999999996
4_medical,2020-2021,21741.2
6_industrial_products_and_services,2017-2018,3247389.657803834
6_industrial_products_and_services,2018-2019,5777979.578510421
6_industrial_products_and_services,2019-2020,2764944.2460953174
6_industrial_products_and_services,2020-2021,3817752.806173086
9_human_capital,2017-2018,13657.41
9_human_capital,2018-2019,29998.513028169014
9_human_capital,2019-2020,49436.18697183099
NA,2018-2019,29715.52
