owner_org,d_fiscal_year,total
aafc-aac,2017-2018,39682.36
aafc-aac,2018-2019,43499.20
aafc-aac,2019-2020,16445.61
aafc-aac,2020-2021,29659.77
aafc-aac,2021-2022,10818.36
aandc-aadnc,2017-2018,8968.05
aandc-aadnc,2018-2019,8968.05
cas-satj,2017-2018,49452.19
cas-satj,2019-2020,15973.68
cas-satj,2020-2021,53099.47
cas-satj,2021-2022,56505.27
cbsa-asfc,2017-2018,17432.43
cbsa-asfc,2018-2019,17432.43
cbsa-asfc,2019-2020,17480.20
cbsa-asfc,2020-2021,17432.43
cbsa-asfc,2021-2022,16950.00
cfia-acia,2018-2019,30497.90
cfia-acia,2019-2020,28646.30
cfia-acia,2020-2021,27120.00
cfia-acia,2021-2022,27120.00
cic,2017-2018,5595.72
cic,2018-2019,17098.05
cic,2021-2022,810.05
cnsc-ccsn,2019-2020,16950.00
cra-arc,2017-2018,1172927.11
cra-arc,2018-2019,1176483.36
cra-arc,2019-2020,1174022.53
cra-arc,2020-2021,1186597.31
cra-arc,2021-2022,1316409.34
csc-scc,2017-2018,10141.53
dfatd-maecd,2017-2018,14577.00
dfatd-maecd,2018-2019,13535.79
dfatd-maecd,2019-2020,15097.61
dfatd-maecd,2020-2021,7809.11
dfatd-maecd,2021-2022,8615.15
dfo-mpo,2017-2018,10170.00
dfo-mpo,2018-2019,10170.00
dfo-mpo,2020-2021,20340.00
dfo-mpo,2021-2022,377260.46
dnd-mdn,2018-2019,50000.00
dnd-mdn,2019-2020,37500.00
dnd-mdn,2020-2021,30000.00
dnd-mdn,2021-2022,30000.00
ec,2018-2019,440.52
ec,2019-2020,12402.19
esdc-edsc,2017-2018,30372.57
esdc-edsc,2018-2019,27689.82
esdc-edsc,2019-2020,24915.09
esdc-edsc,2020-2021,20695.50
esdc-edsc,2021-2022,20695.50
ic,2017-2018,792.52
ic,2018-2019,24105.90
ic,2020-2021,12543.00
ic,2021-2022,25011.42
infc,2018-2019,15896.23
infc,2019-2020,43.55
jus,2017-2018,8283.57
jus,2018-2019,33594.49
jus,2019-2020,33686.53
jus,2020-2021,33594.49
jus,2021-2022,32928.81
nrc-cnrc,2021-2022,25538.00
nrcan-rncan,2017-2018,11383.09
nrcan-rncan,2018-2019,31727.00
nrcan-rncan,2019-2020,32667.67
nrcan-rncan,2020-2021,23090.48
nrcan-rncan,2021-2022,37719.82
oag-bvg,2018-2019,160043.05
oag-bvg,2019-2020,177449.01
oag-bvg,2020-2021,203804.32
oag-bvg,2021-2022,180274.92
osfi-bsif,2021-2022,11045.70
phac-aspc,2017-2018,20190.37
phac-aspc,2019-2020,1359.63
phac-aspc,2020-2021,55140.37
ps-sp,2017-2018,10848.00
ps-sp,2018-2019,28250.00
ps-sp,2019-2020,22907.36
ps-sp,2020-2021,13560.00
ps-sp,2021-2022,30815.10
pwgsc-tpsgc,2017-2018,13047.66
pwgsc-tpsgc,2018-2019,25377.89
pwgsc-tpsgc,2019-2020,50896.09
pwgsc-tpsgc,2020-2021,13047.66
pwgsc-tpsgc,2021-2022,13047.66
rcmp-grc,2017-2018,15255.00
rcmp-grc,2019-2020,15255.00
rcmp-grc,2021-2022,30510.00
ssc-spc,2017-2018,13797.00
ssc-spc,2019-2020,13560.00
ssc-spc,2021-2022,129808.75
tbs-sct,2018-2019,3305.01
tbs-sct,2019-2020,24944.99
tbs-sct,2020-2021,32797.31
tbs-sct,2021-2022,147553.59
tc,2017-2018,56084.16
tc,2018-2019,10848.00
tc,2019-2020,24295.00
tc,2020-2021,24973.00
tc,2021-2022,14125.00
vac-acc,2018-2019,63969.50
vac-acc,2021-2022,10350.00
