d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,6885699.92,7090391.61
1_facilities_and_construction,2018-2019,7295050.64,7426089.95
1_facilities_and_construction,2019-2020,532011.90,528839.27
1_facilities_and_construction,2020-2021,298558.98,284810.90
10_office_management,2017-2018,10246.55,10537.17
11_defence,2017-2018,4748.08,4898.38
2_professional_services,2017-2018,6126755.97,6308569.06
2_professional_services,2018-2019,933739.48,952297.22
2_professional_services,2019-2020,299654.98,297250.22
6_industrial_products_and_services,2017-2018,141496.02,145914.79
6_industrial_products_and_services,2018-2019,0.00,0.00
9_human_capital,2017-2018,2564.08,2634.74
9_human_capital,2018-2019,12820.39,13054.74
9_human_capital,2019-2020,5374.03,5383.03
