d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2018-2019,21571.70,21783.94
1_facilities_and_construction,2017-2018,123477.73,126677.45
1_facilities_and_construction,2018-2019,185060.87,187878.90
1_facilities_and_construction,2019-2020,439647.07,433971.22
1_facilities_and_construction,2020-2021,405916.69,385694.72
1_facilities_and_construction,2021-2022,247928.86,229593.20
2_professional_services,2017-2018,9227.13,9444.64
2_professional_services,2018-2019,141583.28,143305.06
2_professional_services,2019-2020,261929.53,259239.88
2_professional_services,2020-2021,218211.52,207169.32
2_professional_services,2021-2022,160211.63,148058.81
6_industrial_products_and_services,2019-2020,44039.49,43279.83
9_human_capital,2018-2019,726.43,733.58
9_human_capital,2019-2020,258454.40,254830.29
9_human_capital,2020-2021,28579.55,27242.97
