d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,1498258.21,1544570.98
0_other,2018-2019,1498258.21,1526969.54
0_other,2019-2020,1502363.02,1490378.71
0_other,2020-2021,1498258.21,1426822.28
0_other,2021-2022,1498258.21,1392969.10
0_other,2022-2023,1498258.21,1340647.73
2_professional_services,2017-2018,5758091.01,5936558.32
2_professional_services,2018-2019,4703186.92,4793314.76
2_professional_services,2019-2020,4716072.37,4678452.36
2_professional_services,2020-2021,4703186.92,4478942.18
2_professional_services,2021-2022,3901725.50,3629705.00
2_professional_services,2022-2023,756644.70,677048.85
3_information_technology,2018-2019,24500.00,24894.65
